stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
P-533,,Erasmo Escala esq. El Rosario,,-36.630505,-72.128269,,,,,
P-470,,Conde del Maule esq. Orozimbo Barboza,,-36.628163,-72.125622,,,,,
P-520,,El Rosario esq. 20 de Agosto,,-36.629506,-72.133692,,,,,
P-24,,Alberto Orrego Luco esq. Barros Arana,,-36.635326,-72.100273,,,,,
P-676,,Longitudinal Sur esq. Universidad Pedro De Valdivia,,-36.568408,-72.097729,,,,,
P-32,,Andres Bello esq. Centenario,,-36.601391,-72.116134,,,,,
P-713,,Los Puelches esq. La Tirana,,-36.623604,-72.087125,,,,,
P-919,,Camino Ñuble Alto esq. Manuel Feliciano,,-36.582707,-72.131506,,,,,
P-802,,Real Audiencia esq. Dos Poniente,,-36.615948,-72.128529,,,,,
P-427,,Central Panificadores esq. Central Panificadores,,-36.614299,-72.077348,,,,,
P-486,,Cordillera esq. Los Petriles,,-36.618424,-72.084652,,,,,
P-584,,Cau Cau esq. Río Lircay,,-36.628552,-72.106606,,,,,
P-891,,Valparaiso esq. Simón Bolivar,,-36.607858,-72.12958,,,,,
P-732,,Madrid / Plaza Villa Madrid,,-36.625337,-72.107031,,,,,
P-575,,Gamero esq. Independencia,,-36.604132,-72.094413,,,,,
P-195,,Av. Ecuador esq. Asturias,,-36.598862,-72.104106,,,,,
P-208,,Av. El Tejar esq. Calle uno,,-36.617794,-72.122482,,,,,
P-625,,La Colonia esq. Corregidor Alvarado,,-36.615107,-72.125672,,,,,
P-872,,Sepulveda Bustos esq. Frigorífico San José,,-36.609627,-72.159612,,,,,
P-283,,Av. Nueva Oriente esq. Cerro Plomo,,-36.618417,-72.07693,,,,,
P-58,,Av. Alonso De Ercilla esq. Av. Circunvalacion,,-36.625714,-72.071802,,,,,
P-841,,Ruta N66 esq. Los Alerces,,-36.609768,-72.242006,,,,,
P-649,,Las Termas esq. Mejillones,,-36.607233,-72.074352,,,,,
P-145,,Av. Bernardo O Higgins esq. Plaza de Chillan Viejo,,-36.622363,-72.131301,,,,,
P-588,,Huambalí esq. Av. Reino de Chile,,-36.629623,-72.107236,,,,,
P-835,,Ruta N-439 esq. Emmanuel,,-36.586009,-72.074821,,,,,
P-407,,Camino Nuevo esq. Cuzco,,-36.634661,-72.085689,,,,,
P-810,,Río Viejo esq. Anibal Pinto,,-36.629288,-72.094271,,,,,
P-55,,Atacama esq. Zañartu,,-36.605988,-72.125811,,,,,
P-845,,Ruta N66 esq. Posta Huape,,-36.607948,-72.261244,,,,,
P-846,,Ruta N66 esq. Vibro Sur,,-36.610682,-72.166222,,,,,
P-546,,Estero LLuanco esq. Camino Los Guindos,,-36.625961,-72.067537,,,,,
P-260,,Av. Los Puelches esq. Central Panificadores,,-36.612922,-72.083314,,,,,
P-877,,Simon Bolivar esq. Madrid,,-36.609866,-72.139381,,,,,
P-650,,Las Termas esq. San Juan,,-36.619356,-72.077985,,,,,
P-89,,Av. Alonso De Ercilla esq. Salto Del Itata,,-36.625634,-72.072815,,,,,
P-66,,Av. Alonso de Ercilla esq. El Jardín,,-36.631152,-72.039824,,,,,
P-787,,Pedro Aguirre Cerda esq. Don Bernardo,,-36.619736,-72.109366,,,,,
P-640,,Las Rosas esq. Av. Libertad Oriente,,-36.60935,-72.081671,,,,,
P-900,,Yungay esq. Iquique,,-36.602796,-72.088706,,,,,
P-184,,Av. Coihueco esq. The Wessex School,,-36.59291,-72.071033,,,,,
P-578,,Ganaderos esq. Los Copihues,,-36.626629,-72.110468,,,,,
P-460,,Chacabuco esq. Anibal Pinto,,-36.603603,-72.083955,,,,,
P-656,,Lautaro esq. Los Araucanos,,-36.628379,-72.091735,,,,,
P-12,,20 de agosto esq. General Velásquez,,-36.61912,-72.131527,,,,,
P-429,,Central Panificadores esq. Cerro El León,,-36.615051,-72.071364,,,,,
P-211,,Av. España esq. 3 Oriente,,-36.61433,-72.093344,,,,,
P-256,,Av. Los Puelches esq. 2 sur,,-36.615052,-72.084263,,,,,
P-72,,Av. Alonso de Ercilla esq. Leucotón,,-36.624318,-72.094561,,,,,
P-497,,Demetrio O'Higgins esq. 4 Poniente,,-36.628723,-72.104651,,,,,
P-424,,Central esq. Tres Poniente,,-36.616558,-72.122016,,,,,
